CLYBURN WILL,18:25,2,1/4,0/1,0,0,0,0,3,1,2,0,1,1,0,-2,02.25.2021,CSKA,Olympiacos,FALSE
SHENGELIA TORNIKE,21:33,8,2/5,0,4/6,1,3,4,0,3,2,0,1,3,3,7,02.25.2021,CSKA,Olympiacos,FALSE
KURBANOV NIKITA,21:37,5,1/3,0/3,3/3,2,4,6,2,1,1,0,0,1,1,8,02.25.2021,CSKA,Olympiacos,FALSE
ERIC MICHAEL,11:39,2,1/2,0,0,2,3,5,0,0,1,1,0,1,0,5,02.25.2021,CSKA,Olympiacos,FALSE
LUNDBERG IFFE,28:16,12,0/1,4/8,0,2,2,4,1,1,1,0,0,1,4,15,03.02.2021,CSKA,Maccabi,FALSE
BOLOMBOY JOEL,16:04,6,1/2,0,4/4,0,3,3,0,1,0,0,1,3,2,7,03.02.2021,CSKA,Maccabi,FALSE
JAMES MIKE,31:19,10,2/5,1/6,3/4,0,2,2,6,0,2,1,1,0,3,10,03.02.2021,CSKA,Maccabi,FALSE
HILLIARD DARRUN,24:45,17,1/2,5/10,0,0,2,2,0,1,2,1,0,2,0,11,03.02.2021,CSKA,Maccabi,FALSE
HACKETT DANIEL,16:02,1,0/1,0/1,1/2,0,1,1,3,3,0,0,0,2,2,5,03.02.2021,CSKA,Maccabi,FALSE
ANTONOV SEMEN,2:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,03.02.2021,CSKA,Maccabi,FALSE
STRELNIEKS JANIS,0:50,0,0/1,0,0,0,0,0,0,0,0,0,0,0,0,-1,03.02.2021,CSKA,Maccabi,FALSE
VOIGTMANN JOHANNES,2:23,0,0,0/1,0,0,1,1,0,0,0,0,0,2,0,-2,03.02.2021,CSKA,Maccabi,FALSE
CLYBURN WILL,25:23,21,7/9,1/3,4/6,1,4,5,0,1,2,0,0,4,5,20,03.02.2021,CSKA,Maccabi,FALSE
SHENGELIA TORNIKE,21:08,8,2/5,0/2,4/6,0,2,2,2,2,2,0,1,0,5,9,03.02.2021,CSKA,Maccabi,FALSE
KURBANOV NIKITA,11:50,3,0,1/1,0,0,0,0,0,1,0,0,0,1,0,3,03.02.2021,CSKA,Maccabi,FALSE
ERIC MICHAEL,19:34,6,3/4,0,0,4,4,8,0,0,2,0,0,2,0,9,03.02.2021,CSKA,Maccabi,FALSE
LUNDBERG IFFE,20:50,7,2/5,1/2,0,1,1,2,0,2,3,0,0,3,1,2,03.04.2021,CSKA,Anadolu Efes,FALSE
